NUTS_ID,avg_d_emissions,avg_d_employment,n_obs
DE25C,-1651.72222222222,0.0166666666666668,18
DE261,-12342.1428571429,0.0571428571428573,7
DE262,-5500.5,0.2,18
DE263,-9572.16666666667,-0.111111111111111,18
DE264,-13768.5555555556,-0.0388888888888889,18
DE265,-756.375,-1.73472347597681e-18,8
DE266,-382,0.116666666666667,18
DE267,-3088.38888888889,-0.0555555555555556,18
DE269,-14335.3888888889,0.0722222222222221,18
DE26A,3038.11111111111,0.088888888888889,18
DE26B,-58.2222222222222,0.0222222222222222,18
DE26C,-2634.61111111111,0.00555555555555548,18
DE271,-15282.3333333333,-0.261111111111111,18
DE272,847.5,-3.39234813079909e-17,18
DE275,-5644.16666666667,-0.0722222222222221,18
DE276,-612.611111111111,0.166666666666667,18
DE277,-575.888888888889,0.105555555555556,18
DE278,-88.8333333333333,0.2,18
DE279,-1123.11111111111,0.0611111111111112,18
DE27B,-1334.16666666667,0.372222222222222,18
DE27C,-8560.72222222222,0.544444444444444,18
DE27D,-9228.05555555555,0.35,18
DE27E,-20.8888888888889,0.244444444444445,18
DE300,-230709.444444444,-0.238888888888888,18
DE401,-3328.88888888889,0.05,18
DE402,-24416.1111111111,-0.0722222222222222,18
DE403,-3698.5,-4.62592926927149e-18,18
DE404,-2933.16666666667,0.0333333333333334,18
DE405,-1884.27777777778,0.0222222222222221,18
DE406,-547.5,0.127777777777778,18
DE407,-3659.77777777778,0.0555555555555556,18
DE408,-711.8,0.106666666666667,15
DE409,-37733.1111111111,0.0388888888888889,18
